hs6,hs_desc,isic3,isic_desc,shric
020110,Fresh or chilled bovine carcasses and half carc,1511,"Production, processing and preserving of meat and meat products",5
020120,Fresh or chilled unboned bovine meat (excl. car,1511,"Production, processing and preserving of meat and meat products",5
020130,Fresh or chilled boneless bovine meat,1511,"Production, processing and preserving of meat and meat products",5
020210,Frozen bovine carcasses and half carcasses,1511,"Production, processing and preserving of meat and meat products",5
020220,Frozen unboned bovine meat (excl. carcasses),1511,"Production, processing and preserving of meat and meat products",5
020230,Frozen boneless bovine meat,1511,"Production, processing and preserving of meat and meat products",5
020311,Fresh or chilled swine carcasses and half carca,1511,"Production, processing and preserving of meat and meat products",5
020312,"Fresh or chilled unboned hams, shoulders and cu",1511,"Production, processing and preserving of meat and meat products",5
020319,"Fresh or chilled swine meat, nes (unboned)",1511,"Production, processing and preserving of meat and meat products",5
020321,Frozen swine carcasses and half carcasses,1511,"Production, processing and preserving of meat and meat products",5
020322,"Frozen unboned hams, shoulders and cuts thereof",1511,"Production, processing and preserving of meat and meat products",5
020329,"Frozen swine meat, nes",1511,"Production, processing and preserving of meat and meat products",5
020410,Fresh or chilled lamb carcasses and half carcas,1511,"Production, processing and preserving of meat and meat products",5
020421,Fresh or chilled sheep carcasses and half carca,1511,"Production, processing and preserving of meat and meat products",5
020422,Fresh or chilled unboned meat of sheep,1511,"Production, processing and preserving of meat and meat products",5
020423,Fresh or chilled boneless meat of sheep,1511,"Production, processing and preserving of meat and meat products",5
020430,Frozen lamb carcasses and half carcasses,1511,"Production, processing and preserving of meat and meat products",5
020441,Frozen sheep carcasses and half carcasses (excl,1511,"Production, processing and preserving of meat and meat products",5
020442,Frozen unboned meat of sheep,1511,"Production, processing and preserving of meat and meat products",5
020443,Frozen boned meat of sheep,1511,"Production, processing and preserving of meat and meat products",5
020450,"Fresh, chilled or frozen goat meat",1511,"Production, processing and preserving of meat and meat products",5
020500,"Meat of horses, asses, mules or hinnies, fresh,",1511,"Production, processing and preserving of meat and meat products",5
020610,Fresh or chilled edible bovine offal,1511,"Production, processing and preserving of meat and meat products",5
020621,Frozen bovine tongues,1511,"Production, processing and preserving of meat and meat products",5
020622,Frozen bovine livers,1511,"Production, processing and preserving of meat and meat products",5
020629,Frozen edible bovine offal (excl. tongues and l,1511,"Production, processing and preserving of meat and meat products",5
020630,Fresh or chilled edible swine offal,1511,"Production, processing and preserving of meat and meat products",5
020641,Frozen swine livers,1511,"Production, processing and preserving of meat and meat products",5
020649,Frozen edible swine offal (excl. livers),1511,"Production, processing and preserving of meat and meat products",5
020680,"Fresh or chilled edible offal of sheep, goats,",1511,"Production, processing and preserving of meat and meat products",5
020690,"Frozen edible offal of sheep, goats, horses...",1511,"Production, processing and preserving of meat and meat products",5
020710,Fresh or chilled whole poultry,1511,"Production, processing and preserving of meat and meat products",5
020721,Frozen whole chickens,1511,"Production, processing and preserving of meat and meat products",5
020722,Frozen whole turkeys,1511,"Production, processing and preserving of meat and meat products",5
020723,"Frozen whole ducks, geese and guinea fowls",1511,"Production, processing and preserving of meat and meat products",5
020731,Fresh or chilled fatty livers of geese or ducks,1511,"Production, processing and preserving of meat and meat products",5
020739,Fresh or chilled poultry cuts and offal (excl.,1511,"Production, processing and preserving of meat and meat products",5
