NIC04,shric
200.0,1.0
501.0,2.0
502.0,2.0
1120.0,3.0
1110.0,3.0
1421.0,4.0
1310.0,4.0
1030.0,4.0
1200.0,4.0
1020.0,4.0
1422.0,4.0
1320.0,4.0
1429.0,4.0
1010.0,4.0
1410.0,4.0
1511.0,5.0
1514.0,6.0
1520.0,7.0
1532.0,8.0
1531.0,8.0
1533.0,9.0
1542.0,10.0
1513.0,10.0
1543.0,10.0
1544.0,10.0
1541.0,10.0
1512.0,10.0
1549.0,10.0
1552.0,11.0
1553.0,11.0
1554.0,11.0
1551.0,11.0
1600.0,12.0
1724.0,13.0
1729.0,13.0
1721.0,13.0
1723.0,13.0
1722.0,13.0
1725.0,13.0
1730.0,13.0
1810.0,14.0
1912.0,15.0
1911.0,15.0
1820.0,15.0
1920.0,16.0
2010.0,17.0
2221.0,18.0
2222.0,18.0
2310.0,19.0
2320.0,20.0
2423.0,21.0
2421.0,22.0
2429.0,22.0
2424.0,22.0
2413.0,22.0
2422.0,22.0
2330.0,22.0
2412.0,22.0
2411.0,22.0
2430.0,23.0
2691.0,24.0
2693.0,24.0
2694.0,24.0
2695.0,24.0
2692.0,24.0
2696.0,24.0
2699.0,24.0
2712.0,25.0
2715.0,25.0
2719.0,25.0
2717.0,25.0
2713.0,25.0
2718.0,25.0
2716.0,25.0
2714.0,25.0
2711.0,25.0
2720.0,26.0
2731.0,27.0
2732.0,27.0
2930.0,28.0
3230.0,29.0
2230.0,29.0
3599.0,30.0
3591.0,30.0
3592.0,30.0
3610.0,31.0
3693.0,32.0
4010.0,33.0
4030.0,34.0
4020.0,34.0
4100.0,35.0
4520.0,36.0
4510.0,36.0
4540.0,37.0
4530.0,38.0
4550.0,38.0
5020.0,39.0
5030.0,40.0
5040.0,40.0
5010.0,40.0
5050.0,41.0
5110.0,42.0
5121.0,43.0
5122.0,44.0
5141.0,45.0
5159.0,45.0
5151.0,45.0
5139.0,45.0
5142.0,45.0
5149.0,45.0
5143.0,45.0
5131.0,45.0
5152.0,45.0
5190.0,46.0
5220.0,47.0
5231.0,48.0
5239.0,48.0
5240.0,48.0
5233.0,48.0
5234.0,48.0
5232.0,48.0
5252.0,49.0
5259.0,49.0
5219.0,49.0
5251.0,49.0
5211.0,49.0
1713.0,50.0
5260.0,50.0
1714.0,50.0
1711.0,50.0
1712.0,50.0
5510.0,51.0
5520.0,52.0
6010.0,53.0
6023.0,54.0
6021.0,54.0
6022.0,54.0
6030.0,55.0
6110.0,56.0
6120.0,57.0
6220.0,58.0
6210.0,58.0
6302.0,59.0
6304.0,60.0
6303.0,61.0
6309.0,61.0
6301.0,61.0
6411.0,62.0
6412.0,63.0
6420.0,64.0
6519.0,65.0
6511.0,65.0
6601.0,66.0
6603.0,66.0
6591.0,67.0
6711.0,67.0
6602.0,67.0
6592.0,67.0
6719.0,67.0
6599.0,67.0
6712.0,67.0
6720.0,68.0
7020.0,69.0
7010.0,69.0
7111.0,70.0
7129.0,70.0
7123.0,70.0
7113.0,70.0
7122.0,70.0
7112.0,70.0
7121.0,70.0
7130.0,71.0
2519.0,72.0
3530.0,72.0
2927.0,72.0
2892.0,72.0
2921.0,72.0
3420.0,72.0
2109.0,72.0
3150.0,72.0
3410.0,72.0
3120.0,72.0
3313.0,72.0
3000.0,72.0
2520.0,72.0
2919.0,72.0
3140.0,72.0
2102.0,72.0
2899.0,72.0
3110.0,72.0
2610.0,72.0
2023.0,72.0
2811.0,72.0
2912.0,72.0
2029.0,72.0
2924.0,72.0
2926.0,72.0
2913.0,72.0
3210.0,72.0
2022.0,72.0
3512.0,72.0
3312.0,72.0
2812.0,72.0
2511.0,72.0
2929.0,72.0
2923.0,72.0
3330.0,72.0
2891.0,72.0
2813.0,72.0
2914.0,72.0
3220.0,72.0
3311.0,72.0
3130.0,72.0
3511.0,72.0
3430.0,72.0
2922.0,72.0
3694.0,72.0
2911.0,72.0
2925.0,72.0
2893.0,72.0
3692.0,72.0
3190.0,72.0
3699.0,72.0
3320.0,72.0
3691.0,72.0
2101.0,72.0
2021.0,72.0
3520.0,72.0
7250.0,72.0
2915.0,72.0
7229.0,73.0
7290.0,73.0
7240.0,73.0
7210.0,73.0
7221.0,73.0
7230.0,73.0
7310.0,74.0
7320.0,74.0
7411.0,75.0
7412.0,76.0
7422.0,77.0
7430.0,78.0
7491.0,79.0
8030.0,80.0
8010.0,80.0
8090.0,80.0
8021.0,80.0
8022.0,80.0
8519.0,81.0
8511.0,81.0
8512.0,81.0
8520.0,82.0
8532.0,83.0
8531.0,83.0
3720.0,84.0
9000.0,84.0
3710.0,84.0
9192.0,85.0
9112.0,85.0
9120.0,85.0
9199.0,85.0
9191.0,85.0
9111.0,85.0
9214.0,86.0
7495.0,87.0
9220.0,87.0
7494.0,87.0
7492.0,87.0
7499.0,87.0
7493.0,87.0
7413.0,87.0
7414.0,87.0
7421.0,87.0
9231.0,88.0
9232.0,88.0
9233.0,88.0
2211.0,89.0
9212.0,89.0
9219.0,89.0
9211.0,89.0
2219.0,89.0
9213.0,89.0
9249.0,89.0
9241.0,89.0
2213.0,89.0
2212.0,89.0
9301.0,90.0
9309.0,90.0
9303.0,90.0
9302.0,90.0
