Variable,N,Mean,Std Dev,P25,Median,P75
Shift-share instrument (Z),"3,675",0.458,1.094,-0.037,0.472,0.884
Actual import penetration,"3,675",0.065,0.224,-0.029,0.032,0.118
Non-agri employment share,"3,675",0.480,0.223,0.307,0.466,0.650
"Log weekly wage (rural, ₹)","3,151",9.458,0.487,9.179,9.467,9.770
Middle-skill employment share,"3,631",0.292,0.185,0.146,0.266,0.423
High-skill employment share,"3,548",0.202,0.189,0.062,0.139,0.281
Low-skill employment share,"3,664",0.533,0.225,0.358,0.547,0.709
"Baseline employment (2005, 000s)","3,675",129516.898,342196.871,34123.183,73456.000,137014.000
Distance to nearest port (km),"3,521",553.675,334.832,269.712,493.777,833.521
Distance to nearest SEZ (km),"3,521",301.759,206.266,143.435,248.633,423.051
Any industrial corridor (0/1),"3,521",0.722,0.448,0.000,1.000,1.000
