plfs_state_code,plfs_dist_code,state_district,district_name
01,01,01_01,Anantnag
01,02,01_02,Badgam
01,03,01_03,Bandipora
01,04,01_04,Baramulla
01,05,01_05,Doda
01,06,01_06,Ganderbal
01,07,01_07,Jammu
01,08,01_08,Kargil
01,09,01_09,Kathua
01,10,01_10,Kishtwar
01,11,01_11,Kulgam
01,12,01_12,Kupwara
01,13,01_13,Leh
01,14,01_14,Poonch
01,15,01_15,Pulwama
01,16,01_16,Rajauri
01,17,01_17,Ramban
01,18,01_18,Reasi
01,19,01_19,Samba
01,20,01_20,Shopian
01,21,01_21,Srinagar
01,22,01_22,Udhampur
02,01,02_01,Bilaspur
02,02,02_02,Chamba
02,03,02_03,Hamirpur
02,04,02_04,Kangra
02,05,02_05,Kinnaur
02,06,02_06,Kullu
02,07,02_07,Lahaul & Spiti
02,08,02_08,Mandi
02,09,02_09,Shimla
02,10,02_10,Sirmaur
02,11,02_11,Solan
02,12,02_12,Una
03,01,03_01,Amritsar
03,02,03_02,Barnala
03,03,03_03,Bathinda
03,04,03_04,Faridkot
03,05,03_05,Fatehgarh Sahib
03,06,03_06,Fazilka
03,07,03_07,Ferozepur
03,08,03_08,Gurdaspur
03,09,03_09,Hoshiarpur
03,10,03_10,Jalandhar
03,11,03_11,Kapurthala
03,12,03_12,Ludhiana
03,13,03_13,Mansa
03,14,03_14,Moga
03,15,03_15,Muktsar
03,16,03_16,Nawanshahr
03,17,03_17,Pathankot
03,18,03_18,Patiala
03,19,03_19,Rupnagar
03,20,03_20,Sahibzada Ajit Singh Nagar
03,21,03_21,Sangrur
03,22,03_22,Tarn Taran
04,01,04_01,Chandigarh
05,01,05_01,Almora
05,02,05_02,Bageshwar
05,03,05_03,Chamoli
05,04,05_04,Champawat
05,05,05_05,Dehradun
05,06,05_06,Haridwar
05,07,05_07,Nainital
05,08,05_08,Pauri Garhwal
05,09,05_09,Pithoragarh
05,10,05_10,Rudraprayag
05,11,05_11,Tehri Garhwal
05,12,05_12,Udham Singh Nagar
05,13,05_13,Uttarkashi
06,01,06_01,Ambala
06,02,06_02,Bhiwani
06,03,06_03,Faridabad
06,04,06_04,Fatehabad
06,05,06_05,Gurgaon
06,06,06_06,Hisar
06,07,06_07,Jhajjar
06,08,06_08,Jind
06,09,06_09,Kaithal
