state_district,round,mean_wage_wtd,n_obs,ln_wage,year,sector
01_01,2017-18,9500,2,9.159047077588632,2017,rural
01_01,2018-19,10248.259280880413,5,9.234863143888873,2018,rural
01_01,2019-20,13163.88605121144,3,9.485232453934263,2019,rural
01_01,2020-21,10000,1,9.210340371976184,2020,rural
01_01,2022-23,14448.446866404292,9,9.578342204470015,2022,rural
01_02,2017-18,6939.641814716813,18,8.845005440456646,2017,rural
01_02,2018-19,8197.235911437205,35,9.0115522924557,2018,rural
01_02,2019-20,8664.573266227444,42,9.066997952954,2019,rural
01_02,2020-21,9383.370547821729,36,9.14669431091194,2020,rural
01_02,2021-22,9865.434379363462,26,9.196792449860705,2021,rural
01_02,2022-23,11920.79468824243,29,9.38603960687381,2022,rural
01_03,2017-18,7673.395009812167,2,8.945514431344206,2017,rural
01_03,2018-19,20000,1,9.903487552536127,2018,rural
01_03,2019-20,16552.581090252246,4,9.714297325760102,2019,rural
01_05,2018-19,13000,2,9.472704636443673,2018,rural
01_05,2019-20,12000,1,9.392661928770137,2019,rural
01_05,2021-22,32000,1,10.373491181781864,2021,rural
01_05,2022-23,28284.3993076835,5,10.250065670418406,2022,rural
01_06,2017-18,16397.235175491754,6,9.704868012739668,2017,rural
01_06,2018-19,13453.333469763984,3,9.506982195940465,2018,rural
01_06,2020-21,12689.88390707367,4,9.448560412287838,2020,rural
01_06,2021-22,28308.716094659303,2,10.250925025422964,2021,rural
01_06,2022-23,25450.982445850266,6,10.144509624213956,2022,rural
01_07,2017-18,15870.26514586149,13,9.67220252074456,2017,rural
01_07,2018-19,14838.03311141262,25,9.604948968274991,2018,rural
01_07,2019-20,6546.043371897306,7,8.786616080749122,2019,rural
01_07,2020-21,18343.405993568947,11,9.817025442502814,2020,rural
01_07,2021-22,22864.91604385968,38,10.037358964266463,2021,rural
01_07,2022-23,27857.190531258286,31,10.234846399867608,2022,rural
01_08,2017-18,12775.811303836752,8,9.45530892020506,2017,rural
01_08,2018-19,12865.192306242481,6,9.462280672621418,2018,rural
01_08,2019-20,11168.21376220359,16,9.320826965417433,2019,rural
01_08,2020-21,7062.908521062911,16,8.862612217472138,2020,rural
01_08,2021-22,19866.276197897565,26,9.896778909723936,2021,rural
01_08,2022-23,14948.099079507181,53,9.612339418861918,2022,rural
01_09,2017-18,6371.209030044634,8,8.759544531191297,2017,rural
01_09,2018-19,9000,4,9.104979856318357,2018,rural
